slice,f1,precision,recall
Bachelors,0.7473053892215569,0.8428635749662314,0.792213288192975
HS-grad,0.9934640522875817,0.18149253731343284,0.3069156991418475
11th,1.0,0.3,0.4615384615384615
Masters,0.8169291338582677,0.8654848800834203,0.8405063291139242
9th,1.0,0.1111111111111111,0.19999999999999998
Some-college,0.9603399433427762,0.24441240086517663,0.38965517241379305
Assoc-acdm,0.93,0.35094339622641507,0.5095890410958904
Assoc-voc,0.9514563106796117,0.27146814404432135,0.4224137931034483
7th-8th,1.0,0.125,0.2222222222222222
Doctorate,0.8613861386138614,0.8529411764705882,0.8571428571428572
Prof-school,0.8747203579418344,0.9243498817966903,0.8988505747126437
5th-6th,1.0,0.3125,0.47619047619047616
10th,1.0,0.12903225806451613,0.2285714285714286
1st-4th,1.0,0.16666666666666666,0.2857142857142857
Preschool,1.0,1.0,1.0
12th,1.0,0.24242424242424243,0.3902439024390244
